,ID,DeviceSerial,Vin,MessageType,ReportType,MsgNum,TripState,ReceivedTimestamp,Latitude,Longitude,MessageXML,ProcessedTimestamp,IsProcessed,CollectionTimestamp,ManufacturerSerial
48779,940853729,1088217018,,GPS,NoMove,5168,,2019-01-18 19:16:42.577,43.6912612915039,-79.5959701538086,"<GPSData ReportType=""NoMove"" DeviceSerial=""1088217018"" MsgNum=""5168"" TripState=""N/A"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59597""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>47.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:16:49</CollectionTimestamp><TotalDistance>1938.9199107545628</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:16:49.000,816807
48794,940856007,1088217018,,J1939,Current State,2345,On Route,2019-01-18 19:18:46.280,43.691253662109396,-79.5959701538086,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2345"" TripState=""On Route"" VIN="""" Latitude=""43.69125"" Longitude=""-79.59597""><JBusData><Course>47.2</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>598</EngineSpeed><EngineLoad>20</EngineLoad><TotalFuelUsed>137815</TotalFuelUsed><EngineOnTime>3603</EngineOnTime><IdleTime>2184</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>201987</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>2451</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:18:52.000,816807
48807,940858261,1088217018,,J1939,Trip End,2346,Engine Off,2019-01-18 19:20:57.343,43.6912612915039,-79.5959701538086,"<JBus ReportType=""Trip End"" DeviceSerial=""1088217018"" MsgNum=""2346"" TripState=""Engine Off"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59597""><JBusData><Course>47.2</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>0</EngineSpeed><EngineLoad>0</EngineLoad><TotalFuelUsed>137816</TotalFuelUsed><EngineOnTime>3728</EngineOnTime><IdleTime>2309</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>202118</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>2576</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:21:03.000,816807
48815,940858579,1088217018,,J1939,Current State,2347,Engine On,2019-01-18 19:21:13.060,43.6912612915039,-79.5959701538086,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2347"" TripState=""Engine On"" VIN="""" Latitude=""43.69126"" Longitude=""-79.59597""><JBusData><Course>47.2</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>145</EngineSpeed><EngineLoad>0</EngineLoad><TotalFuelUsed>137816</TotalFuelUsed><EngineOnTime>0</EngineOnTime><IdleTime>0</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>202118</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>0</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:21:19.000,816807
48835,940862171,1088217018,4V4MC9EH5CN542671,J1939,Trip Start,2348,On Route,2019-01-18 19:24:39.280,43.6912651062012,-79.5959701538086,"<JBus ReportType=""Trip Start"" DeviceSerial=""1088217018"" MsgNum=""2348"" TripState=""On Route"" VIN=""4V4MC9EH5CN542671"" Latitude=""43.69127"" Longitude=""-79.59597""><JBusData><Course>47.2</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>3.218</Speed><EngineSpeed>660</EngineSpeed><EngineLoad>50</EngineLoad><TotalFuelUsed>137816</TotalFuelUsed><EngineOnTime>205</EngineOnTime><IdleTime>182</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>202324</TotalEngineHours><PBrkState>0</PBrkState><IdleTimeSinceEngOn>205</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:24:45.000,816807
48844,940863913,1088217018,,J1939,Current State,2349,On Route,2019-01-18 19:26:13.217,43.691226959228494,-79.5962295532227,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2349"" TripState=""On Route"" VIN="""" Latitude=""43.69123"" Longitude=""-79.59623""><JBusData><Course>224.3</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>599</EngineSpeed><EngineLoad>16</EngineLoad><TotalFuelUsed>137816</TotalFuelUsed><EngineOnTime>300</EngineOnTime><IdleTime>232</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>202418</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>258</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:26:19.000,816807
48869,940869248,1088217018,,J1939,Current State,2350,On Route,2019-01-18 19:31:13.357,43.691226959228494,-79.5962295532227,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2350"" TripState=""On Route"" VIN="""" Latitude=""43.69123"" Longitude=""-79.59623""><JBusData><Course>224.3</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221897</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>599</EngineSpeed><EngineLoad>16</EngineLoad><TotalFuelUsed>137816</TotalFuelUsed><EngineOnTime>600</EngineOnTime><IdleTime>532</IdleTime><FuelLevPrimary>84</FuelLevPrimary><TotalEngineHours>202718</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>558</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-18 19:31:19.000,816807
48884,940872083,1088217018,,GPS,StartedMove,5169,,2019-01-18 19:33:56.763,43.6912231445313,-79.5962448120117,"<GPSData ReportType=""StartedMove"" DeviceSerial=""1088217018"" MsgNum=""5169"" TripState=""N/A"" VIN="""" Latitude=""43.69122"" Longitude=""-79.59624""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>221.8</Course><GPSMessageNumber /><Speed>4.0766001422405242</Speed><CollectionTimestamp>2019-01-18T19:33:04</CollectionTimestamp><TotalDistance>1938.9199107545628</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:33:04.000,816807
48885,940872086,1088217018,,GPS,TimeExpired1,5170,,2019-01-18 19:33:56.810,43.689083099365206,-79.5966873168945,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5170"" TripState=""N/A"" VIN="""" Latitude=""43.68908"" Longitude=""-79.59669""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>161.4</Course><GPSMessageNumber /><Speed>44.286699365615846</Speed><CollectionTimestamp>2019-01-18T19:34:04</CollectionTimestamp><TotalDistance>1938.9199107545628</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:34:04.000,816807
48891,940873175,1088217018,,GPS,TimeExpired1,5171,,2019-01-18 19:34:57.670,43.686916351318395,-79.59571838378909,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""5171"" TripState=""N/A"" VIN="""" Latitude=""43.68692"" Longitude=""-79.59572""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>158.2</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2019-01-18T19:35:04</CollectionTimestamp><TotalDistance>1939.4152107387131</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-18 19:35:04.000,816807
